epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,387.959,0.91339,1.12121,1.24706,0.62373,0.48219,0.53254,0.38015,1.26928,1.64161,1.61656,0.000660045,0.000660045,0.000660045
43,397.775,0.90969,1.12157,1.24888,0.6386,0.47422,0.52723,0.3821,1.26721,1.60669,1.61635,0.000649046,0.000649046,0.000649046
44,406.442,0.9072,1.08223,1.22865,0.57439,0.51351,0.52345,0.37043,1.34476,1.75648,1.66783,0.000638047,0.000638047,0.000638047
45,415.535,0.89839,1.04802,1.22875,0.60659,0.5114,0.55698,0.37276,1.32901,1.67907,1.64569,0.000627048,0.000627048,0.000627048
46,425.212,0.91762,1.06398,1.23884,0.63303,0.53906,0.53781,0.38039,1.25389,1.6045,1.56134,0.000616049,0.000616049,0.000616049
47,434.316,0.89737,1.06033,1.221,0.54452,0.50946,0.519,0.38193,1.23973,1.61971,1.56291,0.000605051,0.000605051,0.000605051
48,443.151,0.87682,1.03617,1.22216,0.53498,0.44714,0.4796,0.33828,1.24707,1.78527,1.57731,0.000594052,0.000594052,0.000594052
49,452.348,0.85249,1.00875,1.20259,0.57883,0.49874,0.50725,0.36317,1.28808,1.74455,1.6066,0.000583053,0.000583053,0.000583053
50,460.992,0.85855,0.9896,1.20414,0.67467,0.51952,0.58562,0.41675,1.21586,1.54725,1.54087,0.000572054,0.000572054,0.000572054
51,469.916,0.86324,1.01835,1.21763,0.66586,0.49344,0.57688,0.40981,1.2282,1.53598,1.54972,0.000561055,0.000561055,0.000561055
52,479.027,0.85106,1.01749,1.22366,0.54545,0.56562,0.53396,0.37312,1.24601,1.69745,1.56988,0.000550056,0.000550056,0.000550056
53,488.739,0.88701,1.03759,1.22407,0.51194,0.5427,0.50442,0.36937,1.22164,1.69519,1.53681,0.000539057,0.000539057,0.000539057
54,496.953,0.82829,0.95425,1.19456,0.59893,0.48793,0.53268,0.38105,1.27676,1.68054,1.64341,0.000528058,0.000528058,0.000528058
